,Incident Date,Description,Case Category,Location,Longitude,Latitude
0,26-04-2024,Flood warning issued for coastal areas,Natural Disaster,"Tannirbavi Beach, Mangalore",74.8138741,12.8913022
1,25-04-2024,Tsunami drill conducted in the cities,Natural Disaster,"Kadri Park, Mangalore",74.8562231,12.8889802
2,24-04-2024,Landslide reported in hilly regions,Natural Disaster,"Western Ghats, Near Charmadi Ghat, Mangalore",74.8559568,12.9141417
3,23-04-2024,Earthquake preparedness workshop held,Natural Disaster,"Town Hall, Mangalore",74.8393895,12.8643791
4,22-04-2024,Cyclone evacuation drills conducted,Natural Disaster,"Panambur Beach, Mangalore",74.8011783,12.9530213
5,21-04-2024,Flood relief camps set up in low-lying areas,Natural Disaster,"Bejai Park, Mangalore",74.8467279,12.8901797
6,20-04-2024,Forest fire containment efforts underway,Natural Disaster,"Kudremukh National Park, Mangalore",74.8559568,12.9141417
7,19-04-2024,Severe thunderstorm warning issued,Natural Disaster,"Lalbagh Botanical Garden, Mangalore",74.8559568,12.9141417
8,18-04-2024,Flash floods reported in river basins,Natural Disaster,"Netravati River Basin, Mangalore",74.8559568,12.9141417
9,17-04-2024,Heatwave advisory issued for the city,Natural Disaster,"Bendoorwell Circle, Mangalore",74.856876,12.8702559
10,26-04-2024,Black leather wallet found,Lost and Found Assistance,"Main Street, Hampankatta, Mangalore",74.8434026,12.8721142
11,25-04-2024,Samsung Galaxy S20 found,Lost and Found Assistance,"Bus Stand, State Bank Road, Mangalore",74.836573,12.862796
12,24-04-2024,Blue backpack found in the park,Lost and Found Assistance,"City Park, Kadri, Mangalore",74.8591578,12.8804608
13,23-04-2024,Bunch of keys found near the market,Lost and Found Assistance,"Market Road, Balmatta, Mangalore",74.8400342,12.8670668
14,22-04-2024,Dell laptop found in a coffee shop,Lost and Found Assistance,"Cafe Avenue, MG Road, Mangalore",74.839408,12.8825301
15,21-04-2024,Ray-Ban sunglasses found on the beach,Lost and Found Assistance,"Tannirbavi Beach, Mangalore",74.8138741,12.8913022
16,20-04-2024,Casio wristwatch found in a taxi,Lost and Found Assistance,"Taxi Stand, Falnir, Mangalore",74.8505627,12.8679782
17,19-04-2024,Blue umbrella found at the bus stop,Lost and Found Assistance,"Bus Stop, Lalbagh, Mangalore",74.8382851,12.8850984
18,18-04-2024,Sony earphones found in a park,Lost and Found Assistance,"Central Park, Kankanady, Mangalore",74.8591061,12.8796438
19,17-04-2024,Brown leather purse found,Lost and Found Assistance,"Shopping Complex, Bejai, Mangalore",74.8467279,12.8901797
20,26-04-2024,Chemical spill reported in industrial area,Man-Made Disaster,"Industrial Zone, Mangalore",74.8559568,12.9141417
21,25-04-2024,Fire outbreak in a commercial building,Man-Made Disaster,"Commercial District, Mangalore",74.8559568,12.9141417
22,24-04-2024,Gas leak detected in residential area,Man-Made Disaster,"Residential Sector, Mangalore",74.8559568,12.9141417
